team,bpi_rank,bpi_rating
Southern Illinois,134,NA
Southern Indiana,342,NA
Southern Miss,254,NA
Southern Utah,308,NA
Stanford,86,NA
Stephen F. Austin,118,NA
Stetson,352,NA
Stonehill,328,NA
Stony Brook,270,NA
Syracuse,65,NA
TCU,54,12
Tarleton State,244,NA
Temple,129,NA
Tennessee,17,NA
Tennessee State,255,NA
Tennessee Tech,338,NA
Texas,41,NA
Texas A&M,29,NA
Texas A&M-Corpus Christi,173,NA
Texas Southern,329,NA
Texas State,228,NA
Texas Tech,21,12
The Citadel,361,NA
Toledo,169,NA
Towson,158,NA
Troy,113,NA
Tulane,178,NA
Tulsa,75,NA
UAB,106,NA
UAlbany,280,NA
UC Davis,217,NA
UC Irvine,117,NA
UC Riverside,286,NA
UC San Diego,123,NA
UC Santa Barbara,153,NA
UCF,56,12
UCLA,31,NA
UConn,12,NA
UIC,147,NA
UL Monroe,356,NA
UMBC,262,NA
UMass Lowell,299,NA
UNC Asheville,225,NA
UNC Greensboro,273,NA
UNC Wilmington,112,NA
UNLV,111,NA
USC,52,NA
UT Arlington,165,NA
UT Martin,231,NA
UT Rio Grande Valley,179,NA
UTEP,272,NA
UTSA,317,NA
Utah,101,12
Utah State,37,NA
Utah Tech,251,NA
Utah Valley,121,NA
VCU,51,-10
VMI Keydets,344,NA
Valparaiso,175,NA
Vanderbilt,19,NA
Vermont,209,NA
Villanova,34,NA
Virginia,23,NA
Virginia Tech,72,NA
Wagner,343,NA
Wake Forest,60,NA
Washington,55,NA
Washington State,168,NA
Weber State,193,NA
West Georgia,337,NA
West Virginia,42,12
Western Carolina,277,NA
Western Illinois,355,NA
Western Kentucky,155,NA
Western Michigan,296,NA
Wichita State,98,NA
William & Mary,146,NA
Winthrop,141,NA
Wisconsin,39,NA
Wofford,234,NA
Wright State,135,NA
Wyoming,124,NA
Xavier,94,NA
Yale,104,NA
Youngstown State,206,NA
