kenpom_rank,team,conference,record,adjem,adjoe,adjde,adjt,luck
270,Longwood,BSth,16-16,-8.94,103.6,279,112.6,246
315,Louisiana,SB,11-22,-13.35,100.2,322,113.5,263
352,Louisiana Monroe,SB,4-28,-21.1,101.3,310,122.4,360
197,Louisiana Tech,CUSA,20-14,-2.69,103.1,287,105.8,105
19,Louisville,ACC,24-11,24.57,123.5,22,98.9,27
280,Loyola Chicago,A10,9-24,-9.87,103.6,280,113.5,261
323,Loyola MD,PL,12-20,-14.94,104.3,268,119.2,341
165,Loyola Marymount,WCC,15-17,0.57,106.5,222,105.9,108
348,Maine,AE,8-24,-20.31,91.7,363,112,233
329,Manhattan,MAAC,12-20,-16.24,104.6,263,120.8,350
201,Marist,MAAC,19-12,-2.88,99.8,327,102.6,62
83,Marquette,BE,12-20,10.04,112.1,118,102.1,54
209,Marshall,SB,19-13,-3.23,112.1,119,115.3,297
119,Maryland,B10,12-21,4.48,111.3,133,106.8,125
350,Maryland Eastern Shore,MEAC,9-23,-20.73,94.7,358,115.4,300
198,Massachusetts,MAC,17-16,-2.73,108.7,181,111.5,219
65,McNeese,Slnd,28-6,12.49,114.5,90,102,53
133,Memphis,Amer,13-19,2.82,107.5,207,104.7,86
188,Mercer,SC,19-13,-1.85,111.9,122,113.8,268
285,Mercyhurst,NEC,17-17,-10.58,101.3,309,111.9,231
177,Merrimack,MAAC,23-11,-0.63,106.7,218,107.3,136
30,Miami FL,ACC,26-9,20.64,121,35,100.4,35
90,Miami OH,MAC,32-2,8.64,117.1,66,108.5,151
1,Michigan,B10,37-3,39.7,128.2,4,88.5,1
10,Michigan St.,B10,27-8,28.76,123.1,23,94.4,13
175,Middle Tennessee,CUSA,17-15,-0.5,109.3,166,109.8,190
268,Milwaukee,Horz,12-20,-8.82,106.6,220,115.4,299
82,Minnesota,B10,15-18,10.06,113.6,101,103.6,71
64,Mississippi,SEC,15-20,12.76,114.2,92,101.5,45
102,Mississippi St.,SEC,13-19,7.04,112.8,110,105.8,104
365,Mississippi Valley St.,SWAC,3-30,-31.21,90.5,364,121.7,356
54,Missouri,SEC,20-13,14.93,119.3,50,104.3,82
204,Missouri St.,CUSA,16-18,-2.95,109.2,173,112.1,237
181,Monmouth,CAA,19-15,-1.06,106.1,225,107.2,130
190,Montana,BSky,18-16,-2.01,106.7,217,108.7,160
134,Montana St.,BSky,18-14,2.72,111,140,108.2,145
283,Morehead St.,OVC,20-13,-10.5,106.9,215,117.4,320
353,Morgan St.,MEAC,14-16,-21.64,99.5,334,121.1,353
273,Mount St. Mary's,MAAC,15-17,-9.35,99.6,330,108.9,164
127,Murray St.,MVC,20-13,3.59,116,76,112.4,244
37,N.C. State,ACC,20-14,19.19,123.1,24,103.9,75
332,NJIT,AE,16-17,-16.85,96.6,348,113.5,262
142,Navy,PL,26-8,1.65,107.7,200,106.1,111
16,Nebraska,B10,28-7,26.58,119.5,47,93,8
264,Nebraska Omaha,Sum,16-17,-8.33,106.1,229,114.4,279
72,Nevada,MWC,24-13,11.93,115.7,79,103.8,73
349,New Hampshire,AE,9-21,-20.71,95.3,357,116,306
328,New Haven,NEC,14-17,-16.03,96.3,350,112.3,242
46,New Mexico,MWC,26-11,16.91,117.5,63,100.5,37
183,New Mexico St.,CUSA,16-16,-1.37,109,175,110.3,199
194,New Orleans,Slnd,15-18,-2.19,109.8,158,112,234
337,Niagara,MAAC,8-22,-18.23,99.8,326,118.1,330
237,Nicholls,Slnd,14-19,-6.29,105.8,237,112.1,236
325,Norfolk St.,MEAC,15-17,-15.26,101.5,308,116.8,315
343,North Alabama,ASun,9-21,-19.32,99.6,331,118.9,338
32,North Carolina,ACC,24-9,20.11,120.7,36,100.6,38
290,North Carolina A&T,CAA,11-19,-11.07,105.2,252,116.3,309
351,North Carolina Central,MEAC,14-18,-20.98,100.1,323,121.1,354
279,North Dakota,Sum,18-17,-9.84,106.8,216,116.6,313
118,North Dakota St.,Sum,27-8,4.55,111.6,128,107,128
335,North Florida,ASun,7-25,-17.47,107,213,124.5,363
136,North Texas,Amer,19-14,2.7,103.7,275,101,43
287,Northeastern,CAA,7-24,-10.76,107.5,206,118.3,333
321,Northern Arizona,BSky,10-22,-14.75,105.1,254,119.8,347
143,Northern Colorado,BSky,20-12,1.57,112.2,117,110.7,206
334,Northern Illinois,MAC,9-21,-17.44,97,344,114.5,284
78,Northern Iowa,MVC,23-13,10.93,109.8,160,98.9,25
176,Northern Kentucky,Horz,20-14,-0.52,109.6,162,110.2,195
58,Northwestern,B10,15-19,13.52,117.6,60,104.1,77
282,Northwestern St.,Slnd,10-22,-10.2,102.3,297,112.5,245
93,Notre Dame,ACC,13-18,8.46,115.5,80,107,127
168,Oakland,Horz,16-16,0.25,115.4,81,115.1,293
230,Ohio,MAC,15-17,-5.74,107.9,193,113.7,266
25,Ohio St.,B10,21-13,22.22,124,17,101.8,52
41,Oklahoma,SEC,21-16,18.37,123.8,18,105.4,99
79,Oklahoma St.,B12,20-15,10.77,119.5,48,108.7,158
248,Old Dominion,SB,12-21,-7.02,106.1,228,113.1,254
311,Oral Roberts,Sum,10-23,-13.18,102.1,300,115.2,295
101,Oregon,B10,12-20,7.08,111.8,126,104.7,87
179,Oregon St.,WCC,17-16,-0.86,109.2,174,110,191
112,Pacific,WCC,18-15,5.26,110.7,144,105.4,101
156,Penn,Ivy,18-12,0.99,107.6,203,106.6,123
139,Penn St.,B10,12-20,2.31,114.2,93,111.9,230
263,Pepperdine,WCC,9-23,-8.32,105.3,251,113.6,265
98,Pittsburgh,ACC,13-20,7.23,113.6,102,106.4,114
206,Portland,WCC,15-19,-3.14,106.1,230,109.2,174
148,Portland St.,BSky,20-11,1.25,103.5,281,102.2,57
281,Prairie View A&M,SWAC,19-18,-10.15,101.2,311,111.4,217
269,Presbyterian,BSth,15-18,-8.89,103.3,282,112.2,240
254,Princeton,Ivy,9-20,-7.27,105.5,246,112.7,249
67,Providence,BE,15-18,12.17,121.3,32,109.1,170
8,Purdue,B10,30-9,31.08,131.6,1,100.5,36
259,Purdue Fort Wayne,Horz,17-15,-7.78,105.5,247,113.2,257
186,Queens,ASun,21-14,-1.77,115.8,78,117.6,327
217,Quinnipiac,MAAC,19-13,-4.09,104.4,265,108.5,148
257,Radford,BSth,16-16,-7.54,106.4,223,114,273
135,Rhode Island,A10,16-16,2.71,106.1,226,103.4,67
225,Rice,Amer,13-18,-4.94,108.9,177,113.8,270
153,Richmond,A10,15-17,1.06,111.6,129,110.5,203
357,Rider,MAAC,4-25,-24.17,95.9,351,120.1,349
141,Robert Morris,Horz,22-11,1.73,110.8,142,109.1,167
125,Rutgers,B10,14-20,3.66,110.2,153,106.5,120
258,SIUE,OVC,19-13,-7.69,99.5,332,107.2,133
48,SMU,ACC,20-14,16.82,122.7,28,105.9,106
266,Sacramento St.,BSky,10-21,-8.57,105.9,236,114.4,281
294,Sacred Heart,MAAC,14-19,-11.38,107.4,209,118.7,337
354,Saint Francis,NEC,7-24,-22.25,99.6,329,121.9,357
106,Saint Joseph's,A10,24-12,5.72,107.8,194,102.1,55
34,Saint Louis,A10,29-6,19.51,120.3,41,100.8,42
26,Saint Mary's,WCC,27-6,21.87,119.2,52,97.3,19
253,Saint Peter's,MAAC,17-12,-7.24,103.2,284,110.5,202
111,Sam Houston St.,CUSA,22-12,5.29,113.9,96,108.6,155
212,Samford,SC,18-14,-3.8,109.8,161,113.6,264
226,San Diego,WCC,12-21,-5.14,108.2,184,113.4,260
49,San Diego St.,MWC,22-11,16.77,113.7,99,96.9,16
122,San Francisco,WCC,17-16,3.99,113.7,100,109.7,187
222,San Jose St.,MWC,9-24,-4.73,112.5,115,117.2,318
38,Santa Clara,WCC,26-9,19.02,123.7,19,104.7,88
113,Seattle,WCC,21-14,5.24,102.7,291,97.4,21
51,Seton Hall,BE,21-12,16.09,110.8,143,94.7,15
180,Siena,MAAC,23-12,-1.04,107.8,195,108.9,162
199,South Alabama,SB,21-12,-2.83,107.2,211,110.1,193
96,South Carolina,SEC,13-19,7.53,112.7,112,105.1,94
356,South Carolina St.,MEAC,10-22,-23.41,95.3,356,118.7,336
284,South Dakota,Sum,16-16,-10.53,104.3,267,114.8,288
221,South Dakota St.,Sum,14-18,-4.65,108,191,112.6,248
47,South Florida,Amer,25-9,16.9,117.7,59,100.8,41
232,Southeast Missouri,OVC,20-13,-5.96,102.2,298,108.1,144
286,Southeastern Louisiana,Slnd,9-22,-10.6,99.7,328,110.3,198
277,Southern,SWAC,17-17,-9.55,104.9,256,114.5,283
120,Southern Illinois,MVC,16-16,4.32,103.7,276,99.4,29
341,Southern Indiana,OVC,7-23,-18.75,95.5,354,114.3,277
219,Southern Miss,SB,19-16,-4.25,105.3,248,109.6,182
252,Southern Utah,WAC,10-22,-7.24,106.6,219,113.8,269
137,St. Bonaventure,A10,17-17,2.44,113.9,95,111.5,220
13,St. John's,BE,30-7,27.17,121.1,34,93.9,11
115,St. Thomas,Sum,24-10,4.92,112.9,108,108,142
63,Stanford,ACC,20-13,12.82,117,69,104.1,79
91,Stephen F. Austin,Slnd,28-6,8.58,112.7,111,104.1,78
303,Stetson,ASun,12-21,-12.53,105.3,250,117.8,329
333,Stonehill,NEC,12-21,-17.28,91.8,362,109.1,168
229,Stony Brook,CAA,17-15,-5.68,105.2,253,110.9,210
87,Syracuse,ACC,15-17,9.35,114.6,87,105.2,95
44,TCU,B12,23-12,17.35,115,82,97.7,22
220,Tarleton St.,WAC,14-18,-4.45,104.3,266,108.8,161
159,Temple,Amer,16-16,0.78,112,120,111.2,213
14,Tennessee,SEC,25-12,27,121.4,31,94.4,14
224,Tennessee Martin,OVC,22-11,-4.92,100.5,320,105.4,98
191,Tennessee St.,OVC,23-10,-2.05,109.2,171,111.3,215
316,Tennessee Tech,OVC,13-18,-13.44,102.5,294,116,305
31,Texas,SEC,21-15,20.57,124.9,13,104.4,83
39,Texas A&M,SEC,22-12,18.69,119.4,49,100.7,39
173,Texas A&M Corpus Chris,Slnd,18-15,-0.34,104.9,258,105.2,96
314,Texas Southern,SWAC,12-18,-13.26,101.8,305,115.1,292
246,Texas St.,SB,19-13,-6.68,104.1,272,110.7,207
20,Texas Tech,B12,23-11,24.46,124.9,14,100.4,34
347,The Citadel,SC,11-22,-20.15,100.8,317,120.9,352
130,Toledo,MAC,19-15,2.99,114.5,89,111.5,223
157,Towson,CAA,19-15,0.86,105.8,238,105,90
150,Troy,SB,22-12,1.16,110.4,149,109.2,173
210,Tulane,Amer,18-15,-3.38,107.9,192,111.3,216
56,Tulsa,Amer,30-8,13.6,120,43,106.4,116
124,UAB,Amer,20-12,3.76,110.2,151,106.4,117
162,UC Davis,BW,19-14,0.67,108,190,107.3,135
107,UC Irvine,BW,23-12,5.71,104.6,264,98.9,26
261,UC Riverside,BW,10-22,-7.96,104,273,111.9,232
121,UC San Diego,BW,23-11,4.3,107.8,196,103.5,69
132,UC Santa Barbara,BW,18-14,2.95,113.7,98,110.8,209
53,UCF,B12,21-12,14.97,120,44,105,92
28,UCLA,B10,24-12,21.19,122.8,26,101.6,49
187,UMBC,AE,24-9,-1.82,108.9,176,110.7,208
320,UMass Lowell,AE,15-18,-14.63,102.6,293,117.3,319
242,UNC Asheville,BSth,15-17,-6.5,105,255,111.5,221
300,UNC Greensboro,SC,15-19,-12.06,107.7,201,119.8,346
114,UNC Wilmington,CAA,27-7,5.05,111.3,131,106.3,112
104,UNLV,MWC,18-17,6.39,114.9,83,108.5,154
77,USC,B10,18-14,10.94,113.8,97,102.8,63
302,USC Upstate,BSth,13-19,-12.22,99.2,337,111.4,218
154,UT Arlington,WAC,18-14,1.05,102.7,290,101.6,48
117,UT Rio Grande Valley,Slnd,19-14,4.62,111.1,137,106.5,121
275,UTEP,CUSA,11-20,-9.38,101,313,110.4,200
338,UTSA,Amer,5-25,-18.36,99.9,325,118.2,331
128,Utah,B12,10-22,3.55,114.7,86,111.2,214
27,Utah St.,MWC,29-7,21.53,123,25,101.5,44
189,Utah Tech,WAC,19-15,-1.97,110.9,141,112.9,252
92,Utah Valley,WAC,25-9,8.56,112.9,109,104.3,81
42,VCU,A10,28-8,17.44,119.2,51,101.8,51
360,VMI,SC,6-26,-26.16,98.7,338,124.9,364
163,Valparaiso,MVC,18-15,0.65,108,189,107.4,137
11,Vanderbilt,SEC,27-9,27.35,127.1,8,99.8,31
239,Vermont,AE,22-12,-6.43,106.2,224,112.6,247
33,Villanova,BE,24-9,19.92,120.7,37,100.8,40
17,Virginia,ACC,30-6,25.71,122.8,27,97.1,17
60,Virginia Tech,ACC,19-13,13.28,117.1,67,103.8,74
305,Wagner,NEC,14-17,-12.62,102.6,292,115.3,296
80,Wake Forest,ACC,18-17,10.58,116.9,70,106.4,113
52,Washington,B10,16-17,15.25,117.5,61,102.2,58
140,Washington St.,WCC,12-20,2.13,114,94,111.9,228
202,Weber St.,BSky,16-16,-2.93,111.5,130,114.4,282
306,West Georgia,ASun,15-17,-12.65,101.6,307,114.3,275
55,West Virginia,B12,21-14,14.67,111.9,123,97.2,18
227,Western Carolina,SC,15-16,-5.45,109.3,168,114.8,287
364,Western Illinois,OVC,5-26,-28.59,92.9,359,121.5,355
167,Western Kentucky,CUSA,18-14,0.29,108.8,180,108.5,153
274,Western Michigan,MAC,10-21,-9.37,107.8,198,117.1,317
73,Wichita St.,Amer,24-12,11.55,113.1,105,101.6,46
145,William & Mary,CAA,20-12,1.36,111,138,109.7,186
146,Winthrop,BSth,23-11,1.31,111.8,124,110.5,204
23,Wisconsin,B10,24-11,23.09,125.2,10,102.1,56
251,Wofford,SC,19-13,-7.18,109.3,167,116.5,311
138,Wright St.,Horz,23-12,2.36,112.6,114,110.2,197
95,Wyoming,MWC,18-15,7.72,114.9,85,107.1,129
94,Xavier,BE,15-18,7.9,117.1,68,109.2,172
81,Yale,Ivy,24-7,10.1,120.2,42,110.1,194
213,Youngstown St.,Horz,15-17,-3.87,105.6,241,109.5,181
